index,Years,Contry,Migration,Energy_access,Life_expectancy,GDP_per_capita,Total_unemployment
198,YR2016,Canada,320494.0,100.0,81.9248780487805,42315.6037056806,7.0
199,YR2016,Mexico,33094.0,99.5,74.412,8875.08206876137,3.86
200,YR2016,"Venezuela, RB",-283326.0,99.4,72.058,NaN,5.32
201,YR2016,Ecuador,27063.0,98.7,76.763,6079.08873612077,4.6
202,YR2016,Paraguay,-16734.0,98.4,73.534,5759.01833315657,5.25
203,YR2016,Peru,80725.0,94.2,75.789,6163.86117862599,3.74
204,YR2016,Bolivia,-10071.0,91.8,67.628,3013.50270721666,3.5
205,YR2016,Uruguay,-3506.0,99.7,77.571,16837.9403803049,7.84
206,YR2016,Brazil,82589.0,99.7,74.442,8680.73542054827,11.74
207,YR2016,Chile,126525.0,100.0,80.079,13785.6875977318,6.73
208,YR2016,Argentina,5215.0,99.8997421264648,76.308,12790.2640639201,8.109
209,YR2016,Colombia,79978.0,98.4,76.471,5936.26102166829,8.69
210,YR2017,Costa Rica,4196.0,99.6,79.377,12118.1336180615,7.73
211,YR2017,United States,1377630.0,100.0,78.5390243902439,59907.754260885,4.36
212,YR2017,Canada,361274.0,100.0,81.8329268292683,45129.4292980922,6.34
213,YR2017,Mexico,-12438.0,100.0,74.138,9434.37817948243,3.42
214,YR2017,"Venezuela, RB",-817764.0,99.2,71.943,NaN,5.05
215,YR2017,Ecuador,49359.0,99.2,76.972,6246.40425217932,3.84
216,YR2017,Paraguay,-16628.0,99.3,73.644,6136.05835430284,4.61
217,YR2017,Peru,104242.0,94.8,75.879,6676.3077877014,3.69
218,YR2017,Bolivia,-9669.0,91.8,67.701,3280.0082139387,3.65
219,YR2017,Uruguay,-3090.0,99.8,77.625,18995.3970195554,7.89
220,YR2017,Brazil,56362.0,99.8,74.827,9896.7175109967,12.93
221,YR2017,Chile,214697.0,99.7,80.35,15045.5278507601,6.95
222,YR2017,Argentina,4926.0,100.0,76.833,14613.035714704,8.35
223,YR2017,Colombia,415618.0,98.5,76.646,6449.97098726073,8.87
224,YR2018,Costa Rica,4198.0,99.7,79.484,12383.1499469519,9.01
225,YR2018,United States,1200796.0,100.0,78.6390243902439,62823.309438197,3.9
226,YR2018,Canada,417974.0,100.0,81.8439024390244,46547.7951820036,5.83
227,YR2018,Mexico,-99430.0,99.5,74.015,9857.00748742213,3.27
228,YR2018,"Venezuela, RB",-1356759.0,99.8781967163086,71.979,NaN,5.02
229,YR2018,Ecuador,153372.0,98.7,77.094,6321.34940071717,3.53
230,YR2018,Paraguay,-16470.0,99.6,73.568,6242.96150239538,6.22
231,YR2018,Peru,326831.0,95.2,76.009,6912.10462268352,3.49
232,YR2018,Bolivia,-9345.0,92.8,67.748,3471.0069506501,3.52
233,YR2018,Uruguay,-2963.0,99.8,77.611,19026.04961089,8.34
234,YR2018,Brazil,67934.0,99.7,75.109,9121.02009249958,12.46
235,YR2018,Chile,237358.0,100.0,80.133,15795.7081412484,7.21
236,YR2018,Argentina,4690.0,99.9937362670898,76.999,11795.1628852236,9.22
237,YR2018,Colombia,494364.0,98.5,76.748,6782.0379203319,9.11
238,YR2019,Costa Rica,4154.0,99.71,79.427,12669.3411617396,10.81
239,YR2019,United States,1158444.0,100.0,78.7878048780488,65120.3946628653,3.67
240,YR2019,Canada,391914.0,100.0,82.2287804878049,46374.1527517191,5.66
241,YR2019,Mexico,-47764.0,99.6,74.202,10145.1526279593,3.48
242,YR2019,"Venezuela, RB",-976460.0,99.8447799682617,72.161,NaN,5.092
243,YR2019,Ecuador,71801.0,99.09,77.297,6233.25816692363,3.81
244,YR2019,Paraguay,-16270.0,99.7,73.621,5807.83881414187,6.59
245,YR2019,Peru,136558.0,95.551360223182,76.156,6955.88176963678,3.38
246,YR2019,Bolivia,-8978.0,95.08,67.841,3472.38083136442,3.68
247,YR2019,Uruguay,-2902.0,99.9,77.508,18098.361548609,8.73
248,YR2019,Brazil,69186.0,99.8,75.338,8845.3239312417,12.05
249,YR2019,Chile,230162.0,100.0,80.326,14627.14501648,7.27
250,YR2019,Argentina,4478.0,100.0,77.284,9963.67423069626,9.84
251,YR2019,Colombia,395803.0,99.4442596435547,76.752,6436.50921529531,9.96
